Rk,Player,Age,Team,Pos,G,GS,MPAVG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,MPTotal,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SEASON
196,Tyrese Haliburton,23,IND,PG,69,68,32.2,7.2,15.2,0.477,2.8,7.8,0.364,4.4,7.4,0.595,0.57,2.8,3.3,0.855,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,20.1,"AS,NBA3",2224,23.3,0.605,0.51,0.217,1.8,12,6.9,44.9,1.8,1.7,12.2,24.6,7.6,1.5,9,0.195,7.3,-0.4,6.9,5,2023
197,R.J. Hampton,22,MIA,PG,8,2,9.5,0.5,1.8,0.286,0.1,1,0.125,0.4,0.8,0.5,0.321,0.1,0.3,0.5,0.3,0.5,0.8,1,0,0,0.4,1,1.3,,76,0.9,0.336,0.571,0.143,3,6,4.5,13.6,0,0,16.8,10.5,-0.1,0,-0.1,-0.038,-8.1,-1.4,-9.5,-0.1,2023
198,Tim Hardaway Jr.,31,DAL,SF,79,12,26.8,5,12.4,0.402,2.7,7.6,0.353,2.3,4.8,0.478,0.51,1.8,2.1,0.852,0.3,2.9,3.2,1.8,0.5,0.1,0.9,1.3,14.4,6MOY-9,2120,12.1,0.542,0.612,0.173,1.1,11.9,6.5,9.2,1,0.2,6.2,22.6,0.8,1.4,2.2,0.05,-0.8,-2.1,-2.9,-0.5,2023
199,James Harden,34,LAC,PG,72,72,34.3,4.9,11.4,0.428,2.6,6.8,0.381,2.3,4.6,0.497,0.541,4.2,4.8,0.878,0.5,4.7,5.1,8.5,1.1,0.8,2.6,1.8,16.6,,2470,18.6,0.612,0.594,0.418,1.6,14.8,8.4,33.6,1.5,2.1,16,20.6,5.9,2.5,8.4,0.163,3.8,0.3,4.1,3.8,2023
200,Jaden Hardy,21,DAL,SG,73,7,13.5,2.7,6.6,0.407,1.1,3.1,0.362,1.6,3.5,0.447,0.492,0.8,1,0.776,0.3,1.5,1.8,1.5,0.3,0.1,0.8,1.1,7.3,,989,11.2,0.517,0.468,0.159,2.2,12.2,7.2,15.7,1.1,0.4,10.8,24.9,-0.4,0.7,0.3,0.014,-2,-2.1,-4.1,-0.5,2023
201,Ron Harper Jr.,23,TOR,PF,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0,,4,0,,,,0,0,0,28.6,0,0,,0,0,0,0,0.087,-11.7,2.8,-8.8,0,2023
202,Gary Harris,29,ORL,SG,54,27,24,2.4,5.5,0.441,1.4,3.8,0.371,1,1.7,0.598,0.569,0.6,0.8,0.756,0.4,1.2,1.7,1.6,0.9,0.3,0.6,1.7,6.9,,1297,9.4,0.587,0.69,0.152,2.2,6.1,4.1,9.1,1.9,1,8.9,11.7,1.1,1.5,2.7,0.099,-2.3,1.1,-1.2,0.3,2023
203,Joe Harris,32,DET,SG,16,0,10.6,0.9,2.4,0.359,0.6,1.9,0.333,0.3,0.6,0.444,0.487,0.1,0.1,0.5,0.2,0.6,0.8,0.6,0.2,0.1,0.3,1.2,2.4,,170,4.6,0.489,0.769,0.051,1.9,6.7,4.3,7.7,0.8,1,9.1,11,0,0,0,0.001,-4.7,-1.1,-5.9,-0.2,2023
204,Kevon Harris,26,ORL,SG,2,0,3,1,1.5,0.667,0,0,,1,1.5,0.667,0.667,0,0,,0,1,1,0.5,0,0,0.5,1.5,2,,6,11.1,0.667,0,0,0,39.5,19.6,33,0,0,25,29.1,0,0,0,0.038,-15.5,-0.3,-15.8,0,2023
205,Tobias Harris,31,PHI,PF,70,70,33.8,6.6,13.6,0.487,1.3,3.7,0.353,5.3,9.9,0.537,0.535,2.7,3,0.878,1.1,5.3,6.5,3.1,1,0.7,1.3,1.6,17.2,,2368,16.5,0.576,0.271,0.224,3.7,17.7,10.6,13.8,1.5,1.8,8.2,20.7,3.2,2.7,5.9,0.121,1,-0.1,0.9,1.7,2023
206,Shaquille Harrison,30,MEM,SG,3,0,2,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0,0,,0,0.7,0.7,0,0,0.3,0,0,0.7,,6,15.9,0.5,0,0,0,38,18.2,0,0,15.6,0,14.3,0,0,0,0.09,-0.7,5.2,4.6,0,2023
207,Josh Hart,28,NYK,SF,81,42,33.4,3.6,8.4,0.434,1,3.2,0.31,2.7,5.2,0.511,0.493,1.1,1.4,0.791,1.6,6.8,8.3,4.1,0.9,0.3,1.5,2.1,9.4,,2707,11.8,0.522,0.38,0.169,5.3,22.8,14,16.3,1.4,0.8,13.9,13.5,2,3.6,5.7,0.1,-1.3,1.4,0,1.4,2023
208,Isaiah Hartenstein,25,NYK,C,75,49,25.3,3.1,4.9,0.644,0,0,0.333,3.1,4.8,0.646,0.645,1.5,2.1,0.707,3.3,5.1,8.3,2.5,1.2,1.1,1.2,2.8,7.8,,1896,18.9,0.67,0.008,0.43,14.4,22.7,18.5,13.5,2.3,4.2,17.6,12,4.6,3.5,8.1,0.204,0.7,2.8,3.5,2.6,2023
209,Sam Hauser,26,BOS,SF,79,13,22,3.2,7.1,0.446,2.5,5.9,0.424,0.7,1.2,0.559,0.623,0.2,0.2,0.895,0.6,2.9,3.5,1,0.5,0.3,0.4,1.3,9,,1741,13,0.629,0.833,0.034,2.9,13.7,8.6,6.2,1.1,1.3,5.3,15,2.7,2.1,4.9,0.134,1.2,0,1.2,1.4,2023
210,Jordan Hawkins,21,NOP,SG,67,10,17.3,2.6,6.8,0.382,1.6,4.4,0.366,1,2.4,0.411,0.501,1,1.2,0.838,0.4,1.8,2.2,1,0.3,0.1,0.6,1.1,7.8,,1160,10.2,0.533,0.654,0.175,2.8,11.3,7.1,8.2,0.8,0.6,7.5,19.9,0.3,1,1.3,0.053,-1.3,-1.7,-3.1,-0.3,2023
211,Jaxson Hayes,23,LAL,C,70,5,12.5,1.8,2.5,0.72,0,0.1,0,1.8,2.4,0.754,0.72,0.7,1.2,0.622,1,2,3,0.5,0.5,0.4,0.6,1.8,4.3,,877,14,0.718,0.046,0.469,9.2,17.1,13.4,5,1.8,2.9,16.9,12.5,1.4,1.1,2.5,0.135,-2.8,0.9,-1.9,0,2023
212,Killian Hayes,22,DET,PG,42,31,24,2.8,6.7,0.413,0.5,1.8,0.297,2.3,5,0.455,0.452,0.8,1.2,0.66,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,6.9,,1008,10.5,0.474,0.261,0.177,1.2,12.2,6.6,27.8,1.7,1.7,14.3,15.1,0,0.7,0.7,0.032,-2.9,0.2,-2.7,-0.2,2023
213,Gordon Hayward,33,2TM,SF,51,28,24.4,3.7,7.9,0.464,0.7,1.8,0.411,2.9,6.1,0.479,0.51,1.7,2.4,0.742,0.7,2.8,3.5,3.1,0.8,0.3,1.3,1.3,9.8,,1245,12.8,0.548,0.223,0.298,3.4,13,8.1,18.3,1.6,1,12.6,18.4,0.6,0.9,1.5,0.058,-1.6,-0.5,-2.1,0,2023
214,Scoot Henderson,19,POR,PG,62,32,28.5,5,12.9,0.385,1.4,4.3,0.325,3.5,8.5,0.416,0.44,2.7,3.3,0.819,0.9,2.3,3.1,5.4,0.8,0.2,3.4,3.1,14,,1765,9.5,0.489,0.336,0.256,3.2,9.5,6.2,29.9,1.3,0.7,19.3,26.5,-2.5,0.9,-1.7,-0.045,-3.5,-2.3,-5.8,-1.7,2023
215,Taylor Hendricks,20,UTA,PF,40,23,21.4,2.7,6,0.45,1.3,3.5,0.379,1.4,2.5,0.55,0.56,0.6,0.7,0.793,1.2,3.5,4.6,0.8,0.7,0.8,0.7,1.9,7.3,,856,11.8,0.578,0.583,0.121,6,17.7,11.9,5,1.6,3.1,9.7,13.7,0.7,0.6,1.2,0.07,-1.3,-0.4,-1.6,0.1,2023
216,Tyler Herro,24,MIA,SG,42,40,33.5,7.7,17.5,0.441,3.1,7.9,0.396,4.6,9.6,0.478,0.531,2.3,2.6,0.856,0.5,4.8,5.3,4.5,0.7,0.1,2.2,1.5,20.8,,1407,15.7,0.558,0.453,0.151,1.5,16.5,8.9,22.4,1.1,0.2,10.6,27.8,0.4,1.6,2,0.068,1.5,-0.7,0.8,1,2023
217,Buddy Hield,31,2TM,SF,84,42,25.7,4.4,10.1,0.436,2.6,6.8,0.386,1.8,3.4,0.539,0.565,0.6,0.7,0.881,0.7,2.5,3.2,2.8,0.8,0.5,1.2,2,12.1,,2160,13.3,0.578,0.668,0.069,3.1,10.9,7,14.5,1.6,1.6,10.5,19.2,1.9,1.6,3.5,0.077,1,-0.6,0.4,1.3,2023
218,Haywood Highsmith,27,MIA,PF,66,26,20.7,2.3,5,0.465,1.2,2.9,0.396,1.2,2.1,0.562,0.581,0.3,0.5,0.639,1,2.2,3.2,1.1,0.8,0.5,0.5,1.8,6.1,,1366,11.1,0.587,0.584,0.109,5.3,12.1,8.7,7.2,1.9,2.1,9,12.4,1.1,1.9,3.1,0.108,-1.8,1.1,-0.7,0.5,2023
219,Nate Hinton,24,HOU,SG,15,0,5,0.7,1.7,0.423,0.5,0.9,0.5,0.3,0.8,0.333,0.558,0.3,0.3,0.8,0.5,1,1.5,0.7,0.2,0.1,0.2,0.7,2.2,,75,17.6,0.585,0.538,0.192,9.9,21.7,15.7,18.6,1.9,2.5,9.6,17.7,0.2,0.1,0.3,0.187,1.9,1.7,3.6,0.1,2023
220,D'Moi Hodge,25,LAL,SG,7,0,5.9,0.7,2.1,0.333,0.4,1.7,0.25,0.3,0.4,0.667,0.433,0.1,0.3,0.5,0,0,0,0.7,0.1,0.1,0.1,0.6,2,,41,6.1,0.441,0.8,0.133,0,0,0,15.6,1.2,2.1,5.9,17.8,0,0,0,-0.019,-3.7,-2.6,-6.3,0,2023
221,Aaron Holiday,27,HOU,PG,78,1,16.3,2.4,5.3,0.446,1.1,2.8,0.387,1.3,2.6,0.51,0.547,0.7,0.8,0.921,0.3,1.3,1.6,1.8,0.5,0.1,0.7,1.6,6.6,,1269,11.5,0.578,0.52,0.151,1.9,8.5,5.2,15.4,1.6,0.4,10.6,16.7,1.3,1.2,2.5,0.094,-1.8,0.3,-1.5,0.2,2023
222,Jrue Holiday,33,BOS,PG,69,69,32.8,4.8,10,0.48,2,4.7,0.429,2.8,5.3,0.526,0.581,0.9,1,0.833,1.2,4.2,5.4,4.8,0.9,0.8,1.8,1.6,12.5,"DPOY-6,DEF2",2263,14.4,0.597,0.467,0.104,4.2,13.2,8.9,19.3,1.3,2.1,14.7,16.3,3.3,3,6.3,0.133,1,1.1,2.1,2.4,2023
223,Justin Holiday,34,DEN,SG,58,9,14.9,1.5,3.3,0.454,0.9,2.3,0.404,0.6,1,0.569,0.595,0.1,0.1,0.75,0.2,1.1,1.2,1.2,0.6,0.2,0.2,1.2,4,,862,9.7,0.598,0.701,0.021,1.2,7.8,4.6,9.5,2.1,0.9,6.7,10.6,0.9,0.9,1.8,0.101,-2.5,0.9,-1.6,0.1,2023
224,Richaun Holmes,30,2TM,C,40,10,13.9,2.1,3.7,0.558,0,0.1,0.333,2,3.6,0.563,0.561,0.9,1.2,0.723,1.8,2.8,4.6,0.6,0.3,0.5,0.6,1.9,5,,555,14.5,0.593,0.02,0.32,13.7,21.8,17.7,6,0.9,2.9,12.5,14.7,0.8,0.5,1.3,0.114,-2.4,-0.8,-3.3,-0.2,2023
225,Chet Holmgren,21,OKC,C,82,82,29.4,6.2,11.6,0.53,1.6,4.3,0.37,4.6,7.4,0.623,0.598,2.7,3.4,0.793,1.6,6.3,7.9,2.4,0.6,2.3,1.6,2.4,16.5,ROY-2,2413,20.4,0.632,0.366,0.289,6.2,23.1,15,11.6,1.1,7.3,10.9,21.6,4.6,4.4,8.9,0.178,1.8,1.5,3.4,3.3,2023
226,Jalen Hood-Schifino,20,LAL,SG,21,0,5.2,0.5,2.1,0.222,0.1,0.7,0.133,0.4,1.4,0.267,0.244,0.6,1,0.6,0.1,0.5,0.6,0.4,0.1,0.1,0.4,0.6,1.6,,109,-1.5,0.316,0.333,0.444,2.1,10.7,6.6,9.1,1.3,1.6,14.3,24.9,-0.6,0.1,-0.5,-0.222,-12.4,-3.7,-16.1,-0.4,2023
227,Al Horford,37,BOS,C,65,33,26.8,3.3,6.4,0.511,1.7,4,0.419,1.6,2.5,0.658,0.64,0.4,0.5,0.867,1.3,5.1,6.4,2.6,0.6,1,0.7,1.4,8.6,,1740,15,0.65,0.616,0.072,5.3,19.7,12.8,12.3,1.1,3.1,10,12,3.5,2.7,6.2,0.172,1.7,2,3.6,2.5,2023
228,Talen Horton-Tucker,23,UTA,PG,51,11,19.8,3.6,9.1,0.396,1.2,3.6,0.33,2.4,5.5,0.438,0.46,1.7,2.1,0.807,0.4,2,2.4,3.5,0.9,0.4,1.3,1.8,10.1,,1009,13.4,0.503,0.391,0.234,2.3,10.8,6.6,25.5,2.2,1.7,11.2,24,0.3,0.5,0.8,0.039,-0.9,-0.4,-1.2,0.2,2023
229,Danuel House Jr.,30,PHI,SF,34,4,15,1.4,3.1,0.448,0.4,1.5,0.3,0.9,1.6,0.582,0.519,1,1.4,0.761,0.5,1.2,1.7,0.8,0.4,0.1,0.6,1.3,4.2,,509,8.5,0.575,0.476,0.438,3.4,9.3,6.3,7.2,1.5,0.9,13.2,12.2,0.3,0.4,0.7,0.066,-3.4,-0.5,-4,-0.3,2023
230,Caleb Houstan,21,ORL,SF,59,13,13.8,1.4,3.5,0.388,1.2,3.3,0.373,0.1,0.2,0.615,0.563,0.4,0.4,0.808,0.5,0.9,1.4,0.5,0.3,0.1,0.3,1,4.3,,815,8.3,0.582,0.937,0.126,4,8.1,6.1,4.8,0.9,0.5,6.9,12.5,0.7,0.8,1.5,0.089,-1.4,-0.5,-1.9,0,2023
231,Jett Howard,20,ORL,SF,18,0,3.7,0.6,1.7,0.333,0.4,1.4,0.28,0.2,0.3,0.6,0.45,0.1,0.2,0.5,0.1,0.3,0.4,0.3,0.1,0.1,0.2,0.2,1.6,,67,8.6,0.457,0.833,0.133,1.7,10.6,6.1,13,1.5,2.8,8.6,22.7,-0.1,0.1,0,0.005,-1.4,-0.3,-1.8,0,2023
232,Kevin Huerter,25,SAC,SG,64,59,24.4,3.9,8.8,0.443,1.9,5.3,0.361,2,3.4,0.571,0.553,0.6,0.7,0.766,0.6,2.9,3.5,2.6,0.7,0.4,0.8,2.1,10.2,,1562,12.4,0.564,0.609,0.084,2.7,13.6,8,14.4,1.4,1.3,8.4,17.3,1.5,1.4,2.9,0.089,-0.5,-0.4,-0.8,0.5,2023
233,Jay Huff,25,DEN,C,20,0,2.5,0.5,0.8,0.6,0.2,0.5,0.333,0.3,0.3,1,0.7,0.1,0.1,1,0.1,0.5,0.6,0.1,0.1,0.2,0.1,0.5,1.2,,49,18.5,0.724,0.6,0.133,4.7,19.8,12.4,5.6,2,5.2,5.9,15,0.1,0.1,0.2,0.212,-0.3,1.6,1.3,0,2023
234,De'Andre Hunter,26,ATL,SF,57,37,29.5,5.3,11.6,0.459,2.1,5.3,0.385,3.3,6.3,0.521,0.547,2.9,3.4,0.847,0.5,3.4,3.9,1.5,0.7,0.3,1.5,2.6,15.6,,1681,12.7,0.595,0.459,0.296,1.9,12.9,7.2,7.3,1.1,0.9,10,20.6,1.6,0.6,2.2,0.062,-0.9,-1.5,-2.4,-0.2,2023
235,Matthew Hurt,23,MEM,PF,8,0,14.1,1.5,4.3,0.353,0.6,2.5,0.25,0.9,1.8,0.5,0.426,0.4,0.4,1,1.1,0.9,2,0.5,0.4,0.4,0.3,1,4,,113,8.4,0.453,0.588,0.088,8.4,7.1,7.7,5.1,1.3,2.5,5.4,14.2,0,0.1,0.1,0.031,-3,-0.7,-3.7,-0.1,2023
236,Bones Hyland,23,LAC,PG,37,5,14.6,2.6,6.8,0.386,1.2,3.6,0.326,1.4,3.1,0.457,0.474,0.5,0.6,0.783,0.1,1.4,1.5,2.5,0.7,0.1,1.2,1.4,6.9,,540,10.8,0.49,0.538,0.092,1.1,10.1,5.7,24.5,2.4,0.7,14.4,24.8,-0.5,0.5,0,0.003,-2.8,-0.8,-3.6,-0.2,2023
237,Joe Ingles,36,ORL,SF,68,0,17.2,1.5,3.3,0.436,1,2.4,0.435,0.4,1,0.439,0.59,0.4,0.5,0.824,0.3,1.8,2.1,3,0.6,0.1,1,1.3,4.4,,1169,10.6,0.612,0.709,0.15,1.8,12.6,7.1,23,1.8,0.4,21.7,11.6,1.1,1.5,2.6,0.108,-1.7,1.2,-0.5,0.5,2023
238,Brandon Ingram,26,NOP,SF,64,64,32.9,7.8,15.9,0.492,1.3,3.8,0.355,6.5,12.1,0.534,0.534,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8,,2103,18.2,0.578,0.238,0.302,2.3,14.7,8.6,26.7,1.2,1.9,12.4,27.2,2.7,2.4,5.1,0.117,1.4,-0.3,1.2,1.7,2023
239,Kyrie Irving,31,DAL,SG,58,58,35,9.7,19.5,0.497,3,7.3,0.411,6.7,12.2,0.548,0.573,3.3,3.6,0.905,0.8,4.2,5,5.2,1.3,0.5,1.8,1.9,25.6,CPOY-7,2030,21.9,0.608,0.372,0.186,2.4,13.2,7.8,23.8,1.7,1.2,8,28.1,4.9,2,6.9,0.163,4.8,0.1,4.9,3.6,2023
240,Jonathan Isaac,26,ORL,PF,58,2,15.8,2.5,4.9,0.51,0.7,1.9,0.375,1.8,3,0.598,0.584,1,1.4,0.72,1.3,3.2,4.5,0.5,0.7,1.2,0.5,1.1,6.8,6MOY-9,914,19.2,0.61,0.392,0.287,9.3,24.2,16.7,4.8,2.3,7.1,7.7,16.7,1.5,2.1,3.6,0.188,1.4,2.4,3.8,1.4,2023
241,Jaden Ivey,21,DET,SG,77,61,28.8,5.4,12.6,0.429,1.6,4.8,0.336,3.8,7.8,0.485,0.492,2.9,3.9,0.749,1.1,2.3,3.4,3.8,0.7,0.5,2.5,2.6,15.4,,2217,12.4,0.536,0.379,0.311,4.3,9.1,6.6,20.2,1.2,1.6,14.7,24.9,-0.5,1,0.5,0.01,-1.4,-1.7,-3.1,-0.6,2023
242,Andre Jackson Jr.,22,MIL,SG,57,8,10,0.9,1.8,0.5,0.3,0.8,0.37,0.6,0.9,0.611,0.585,0.1,0.2,0.727,0.8,1.2,2,0.9,0.3,0.1,0.5,1.6,2.2,,572,8.5,0.596,0.46,0.11,8.4,13.1,10.8,10.8,1.3,0.9,21.1,10,0.5,0.5,1,0.081,-3.6,0,-3.6,-0.2,2023
243,GG Jackson II,19,MEM,PF,48,18,25.7,5,11.7,0.428,2.1,6,0.357,2.9,5.8,0.502,0.519,2.4,3.2,0.752,1.1,3,4.1,1.2,0.6,0.5,1.4,1.3,14.6,,1233,13.7,0.554,0.508,0.272,4.5,13.2,8.7,8,1.1,1.8,9.3,24.2,0.2,1.1,1.2,0.048,-0.2,-1.8,-2,0,2023
244,Isaiah Jackson,22,IND,C,59,3,13.1,2.6,3.9,0.665,0,0.1,0,2.6,3.9,0.677,0.665,1.2,1.7,0.716,1.6,2.4,4,0.8,0.6,1,0.7,2.3,6.5,,771,21.5,0.689,0.017,0.438,13.8,21.2,17.5,8.3,2.1,6.3,12.3,17.2,2.2,1.1,3.3,0.204,0.3,1.4,1.7,0.7,2023
245,Jaren Jackson Jr.,24,MEM,C,66,66,32.2,7.8,17.6,0.444,1.8,5.5,0.32,6,12.1,0.501,0.494,5.1,6.3,0.808,1.3,4.2,5.5,2.3,1.2,1.6,2.4,3.6,22.5,,2124,17.4,0.552,0.315,0.359,4.2,15,9.4,13.1,1.8,4.7,10.6,30.4,0.2,2.8,3,0.067,0,0.4,0.4,1.3,2023
246,Justin Jackson,28,MIN,SF,2,0,0.5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,,1,0,,,,0,0,0,0,0,0,,0,0,0,0,0.031,-6.3,-1.2,-7.5,0,2023
247,Quenton Jackson,25,IND,PG,3,0,3.7,0,0.3,0,0,0,,0,0.3,0,0,0.7,0.7,1,0,1.3,1.3,0.7,0.3,0,0,0.3,0.7,,11,16.1,0.532,0,2,0,41.2,20.6,18.6,4.3,0,0,7.2,0,0,0,0.203,-3.5,6.8,3.3,0,2023
248,Reggie Jackson,33,DEN,PG,82,23,22.2,4,9.2,0.431,1.2,3.5,0.359,2.7,5.8,0.475,0.499,1,1.2,0.806,0.4,1.5,1.9,3.8,0.5,0.2,1.3,1.8,10.2,,1817,11.7,0.521,0.376,0.13,2.1,7.2,4.7,23,1.2,0.6,11.7,21.7,0.6,1.5,2.1,0.056,-1.8,-1.5,-3.2,-0.6,2023
249,Trayce Jackson-Davis,23,GSW,PF,68,16,16.6,3.4,4.9,0.702,0,0,0,3.4,4.9,0.704,0.702,1.1,1.9,0.561,2,3,5,1.2,0.4,1.1,0.7,1.6,7.9,,1130,21.6,0.692,0.003,0.398,13.1,19.4,16.3,10.4,1.2,6.1,11.2,16.4,3.2,1.6,4.8,0.205,1.5,1.2,2.8,1.4,2023
250,LeBron James,39,LAL,PF,71,71,35.3,9.6,17.9,0.54,2.1,5.1,0.41,7.5,12.8,0.592,0.599,4.3,5.7,0.75,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7,"CPOY-10,AS,NBA3",2504,23.7,0.63,0.286,0.318,2.8,19.3,11.5,37.5,1.7,1.3,14.5,29.2,5.7,2.8,8.5,0.164,5.5,0.9,6.5,5.4,2023
251,Jaime Jaquez Jr.,22,MIA,SF,75,20,28.2,4.5,9.3,0.489,0.9,2.7,0.322,3.7,6.6,0.558,0.536,1.9,2.3,0.811,1.1,2.7,3.8,2.6,1,0.3,1.5,2.2,11.9,"ROY-4,6MOY-9",2113,12.9,0.574,0.29,0.251,4.4,11,7.6,13.9,1.8,0.9,12.4,18.7,1.4,2.7,4,0.092,-2.2,0.3,-1.9,0.1,2023
252,DeJon Jarreau,26,MEM,SG,9,0,16.7,1.9,5.6,0.34,0.4,1.4,0.308,1.4,4.1,0.351,0.38,0.6,1.2,0.455,0.9,4,4.9,2.9,0.7,0.2,1,1.6,4.8,,150,9.6,0.392,0.26,0.22,5.6,27.3,16,25.4,2,1.2,14.1,18.3,-0.2,0.2,0,0.002,-4.6,0.7,-4,-0.1,2023
253,DaQuan Jeffries,26,NYK,SG,17,0,2.7,0.4,1,0.353,0.1,0.6,0.2,0.2,0.4,0.571,0.412,0,0.1,0,0,0.3,0.3,0.3,0,0.1,0.2,0.1,0.8,,46,3.1,0.391,0.588,0.118,0,12.2,6.1,14.9,0,2,14.4,19.6,-0.1,0,-0.1,-0.087,-5.6,-2.5,-8.1,-0.1,2023
254,Trey Jemison,24,2TM,C,25,14,22.9,3,5.4,0.551,0,0,,3,5.4,0.551,0.551,0.8,1,0.84,2.6,2.8,5.4,1.1,0.5,1.1,1.4,2.8,6.8,,573,11.8,0.582,0,0.184,11.7,13.9,12.8,7.1,1,4.6,18.8,13.5,0.3,0.6,0.9,0.073,-4.7,-0.4,-5.1,-0.5,2023
255,Ty Jerome,26,CLE,SG,2,0,7.5,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,0,,0.5,0,0.5,1.5,0,0,0.5,1,2,,15,7.6,0.5,0.25,0,7.6,0,3.7,27.3,0,0,20,14.7,0,0,0,0.04,-4.1,-0.8,-4.9,0,2023
256,Isaiah Joe,24,OKC,SG,78,1,18.5,2.8,6.2,0.458,1.9,4.5,0.416,1,1.7,0.568,0.609,0.6,0.7,0.865,0.4,1.9,2.3,1.3,0.6,0.3,0.6,1.1,8.2,,1445,13.4,0.626,0.728,0.107,2.6,11,6.9,8.9,1.5,1.4,8.5,16.6,1.9,1.6,3.5,0.116,1.1,-0.3,0.9,1,2023
257,Cameron Johnson,27,BRK,PF,58,47,27.6,4.8,10.7,0.446,2.4,6.1,0.391,2.4,4.6,0.519,0.557,1.5,1.9,0.789,0.9,3.4,4.3,2.4,0.8,0.3,1,1.8,13.4,,1599,14.5,0.582,0.57,0.176,3.7,13.8,8.6,12.9,1.5,0.8,7.9,19.6,2,1.3,3.3,0.1,0.9,-0.5,0.4,1,2023
258,Jalen Johnson,22,ATL,SF,56,52,33.7,6.4,12.5,0.511,1.3,3.6,0.355,5.1,9,0.574,0.562,1.9,2.6,0.728,1.3,7.4,8.7,3.6,1.2,0.8,1.8,2.4,16,,1889,16.3,0.584,0.285,0.209,4.1,24.8,14.1,15.4,1.7,2.2,11.6,19.1,2.1,1.7,3.8,0.098,0.4,0.8,1.2,1.5,2023
259,James Johnson,36,IND,PF,9,0,5.2,0.3,1.1,0.3,0,0.2,0,0.3,0.9,0.375,0.3,0.2,0.2,1,0.1,0.3,0.4,0.9,0.6,0.1,0.6,1,0.9,,47,5,0.368,0.2,0.2,2.4,7.2,4.8,18.6,5,1.7,31.5,14.2,-0.1,0.1,0,-0.05,-8,2.2,-5.8,0,2023
260,Keldon Johnson,24,SAS,SF,69,27,29.5,5.7,12.5,0.454,1.8,5.3,0.346,3.8,7.2,0.533,0.527,2.5,3.2,0.792,1.4,4.1,5.5,2.8,0.7,0.3,1.4,2.2,15.7,,2038,14.2,0.565,0.426,0.256,5,15.1,10,14.2,1.2,0.8,9.4,21.9,1.5,1.5,3,0.071,-0.3,-1.4,-1.7,0.2,2023
261,Keon Johnson,21,BRK,SG,5,0,12.2,1.6,4.2,0.381,0.8,2,0.4,0.8,2.2,0.364,0.476,2.2,2.4,0.917,0.6,0.8,1.4,0.6,0.6,0.2,1,1,6.2,,61,13.1,0.59,0.476,0.571,5.2,7.4,6.3,6.9,2.4,1.5,16,22.2,0,0.1,0.1,0.068,-1.6,-1.1,-2.7,0,2023
262,Keyontae Johnson,23,OKC,SF,9,0,7.3,0.6,1.8,0.313,0.1,0.3,0.333,0.4,1.4,0.308,0.344,0,0,,0.4,0.7,1.1,0.4,0.1,0,0.4,0.6,1.2,,66,1.6,0.344,0.188,0,7,9.8,8.4,7.2,0.7,0,20,13.1,-0.1,0.1,-0.1,-0.068,-7.5,-2.2,-9.8,-0.1,2023
263,Nikola Jokić,28,DEN,C,79,79,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9,1.4,0.9,3,2.5,26.4,"MVP-1,CPOY-4,AS,NBA1",2737,31,0.65,0.164,0.31,9.3,29.6,19.8,42,2,2.1,12.9,29.3,12,5.1,17,0.299,9,4.2,13.2,10.6,2023
264,Colby Jones,21,SAC,SG,30,0,6.4,0.9,2.4,0.394,0.1,0.7,0.091,0.9,1.6,0.531,0.408,0.2,0.4,0.545,0.6,0.8,1.3,0.7,0.2,0.2,0.3,1,2.1,,192,8.9,0.422,0.31,0.155,9.7,13.7,11.7,13.9,1.8,2.4,11.6,19.1,-0.2,0.2,0,0.007,-5.4,0.4,-5,-0.1,2023
265,Damian Jones,28,CLE,C,39,0,6.9,1.1,1.8,0.597,0.1,0.4,0.214,1,1.5,0.69,0.618,0.5,0.5,0.857,0.5,1.1,1.6,0.4,0.2,0.3,0.3,0.7,2.7,,270,15.8,0.659,0.194,0.292,8.4,17.3,12.9,7.9,1.3,4.3,13.8,15.4,0.4,0.4,0.8,0.15,-1.7,1.2,-0.5,0.1,2023
266,Derrick Jones Jr.,26,DAL,SF,76,66,23.5,3.1,6.5,0.483,1.1,3.1,0.343,2.1,3.4,0.613,0.566,1.3,1.8,0.713,1.1,2.2,3.3,1,0.7,0.7,0.9,1.6,8.6,,1783,11.7,0.592,0.483,0.275,5,10.3,7.7,5.5,1.4,2.5,10.5,14.9,1.5,1.6,3.1,0.083,-1.3,-0.3,-1.5,0.2,2023
