Rk,Player,Age,Team,Pos,G,GS,MPAVG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,MPTotal,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SEASON
145,Tosan Evbuomwan,22,2TM,SF,17,8,21.6,2.1,4.2,0.507,0.7,1.9,0.375,1.4,2.3,0.615,0.592,1,1.5,0.68,1.1,2.5,3.5,0.9,0.4,0.3,0.5,1.4,5.9,,367,9.9,0.616,0.451,0.352,5.3,13,9.1,5.9,0.8,1.2,9.9,10.6,0.4,0.2,0.5,0.071,-2.4,-0.7,-3,-0.1,2023
146,Danté Exum,28,DAL,PG,55,17,19.8,2.9,5.5,0.533,1,2,0.491,2,3.5,0.557,0.621,1,1.2,0.779,0.5,2.3,2.7,2.9,0.4,0.1,0.9,1.5,7.8,,1088,13.7,0.645,0.358,0.225,2.5,12.4,7.5,19.3,1,0.4,12.9,15,2.1,0.8,2.9,0.127,-0.3,-0.3,-0.6,0.4,2023
147,Bruno Fernando,25,ATL,C,45,2,15.2,2.4,4.2,0.583,0,0.1,0,2.4,4.1,0.596,0.583,1.4,2.1,0.667,1.3,3,4.3,1,0.6,0.6,1,2.4,6.3,,682,15.2,0.615,0.021,0.513,9.1,22.2,15.4,9.3,1.8,3.7,16.1,16.7,0.8,0.7,1.5,0.103,-3.1,0.9,-2.3,-0.1,2023
148,Dorian Finney-Smith,30,BRK,PF,68,56,28.4,3.2,7.5,0.421,1.7,4.9,0.348,1.4,2.6,0.56,0.535,0.5,0.7,0.717,1.6,3.1,4.7,1.6,0.8,0.6,0.9,2.2,8.5,,1934,10.1,0.546,0.658,0.09,6,12.1,9,7.6,1.4,1.8,10,13.2,1,1.6,2.6,0.065,-2,-0.1,-2,0,2023
149,Adam Flagler,24,OKC,SG,2,0,7,0.5,3.5,0.143,0.5,3,0.167,0,0.5,0,0.214,0,0,,0,0,0,2,0,0,0,0,1.5,,14,0.6,0.214,0.857,0,0,0,0,33.6,0,0,0,21.7,0,0,0,-0.159,-6.7,-3.9,-10.6,0,2023
150,Malachi Flynn,25,3TM,PG,69,0,12.7,2,4.7,0.418,0.8,2.4,0.331,1.2,2.3,0.513,0.505,0.8,1,0.732,0.3,1.3,1.7,1.9,0.6,0.1,0.9,1,5.5,,876,11.9,0.533,0.52,0.218,2.6,12,7.2,21.1,2.1,0.8,15,20.4,-0.1,0.6,0.5,0.029,-2,-0.2,-2.2,0,2023
151,Simone Fontecchio,28,2TM,SF,66,43,24.9,3.8,8.3,0.46,2,5.1,0.401,1.8,3.2,0.551,0.582,0.8,1,0.818,1,2.8,3.7,1.5,0.7,0.3,1,1.7,10.5,,1644,12.1,0.6,0.609,0.12,4.3,12.2,8.3,8.7,1.3,1.2,10.5,16.5,1.5,0.6,2.1,0.061,0,-1,-1,0.4,2023
152,Jordan Ford,25,SAC,PG,6,0,3.7,0.7,1.2,0.571,0.3,0.5,0.667,0.3,0.7,0.5,0.714,0.3,0.3,1,0,0.3,0.3,0.3,0,0,0.2,0,2,,22,16.8,0.761,0.429,0.286,0,10.4,5.1,12.8,0,0,11.3,17.3,0.1,0,0.1,0.157,3.3,-1.1,2.2,0,2023
153,Trent Forrest,25,ATL,SG,38,0,10.9,0.9,2.4,0.378,0.1,0.3,0.2,0.8,2.1,0.4,0.389,0.3,0.4,0.765,0.3,1.1,1.3,2.4,0.3,0.1,0.5,0.7,2.2,,414,8.9,0.426,0.111,0.189,2.8,10.9,6.7,27.6,1.3,0.7,17,11.8,0.1,0.1,0.2,0.027,-3.8,-0.7,-4.4,-0.3,2023
154,Evan Fournier,31,2TM,SG,32,0,18.1,2.5,6.9,0.357,1,4.1,0.254,1.4,2.8,0.505,0.432,0.9,1.1,0.806,0.2,1.7,1.8,1.5,0.9,0.2,0.7,1.5,6.9,,580,8.5,0.464,0.588,0.163,0.9,10.4,5.6,11.6,2.4,1,8.1,19,-0.5,0.4,-0.1,-0.005,-4.7,0.3,-4.3,-0.3,2023
