pct_change_pts,change_ws
0.235897436,5.1
0.858333333,-1.2
1.043010753,4
0.603053435,-2.3
0.074509804,1.9
0.434554974,3.5
0.343949045,4
0.247126437,3.1
0.541666667,4.1
0.97826087,4.3
0.72972973,3.2
0.281632653,6.8
0.472392638,1.2
0.415492958,-1.4
0.448275862,5.7
0.275862069,2.7
0.969072165,1.6
0.425675676,1.7
0.354609929,1.7
0.195833333,2.5
1.431034483,2.1
0.435897436,4.9
0.149779736,4.1
1.109589041,4.6
0.270440252,1.7
1.212765957,2
0.652542373,1.8
0.431952663,-2.2
1.04,5.8
1.790322581,1.7
